Tree ID,Day,Hour,Total Sunlight Collected over Day,Sunlight Collected,Total Cell Count,Branch Cell Count,Leaf Cell Count,Width of Tree,Height of Tree,Sunlight over Total Cells,Sunlight over Total Leaf Cells,Age,Growth Iterations,Fitness
Plant 74_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Plant 75_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Plant 76_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Plant 77_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Plant 78_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Plant 79_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Plant 80_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Plant 81_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Plant 82_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Plant 83_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Plant 84_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Plant 85_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Plant 86_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Plant 87_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Plant 88_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Plant 89_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Plant 90_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Plant 91_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Plant 92_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Plant 93_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Plant 94_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Plant 95_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Plant 96_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Plant 97_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Plant 98_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Plant 99_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Plant 0_0,0,1,0,0,0,0,0,7.446573,11.00578,0,0,1,2,0
